optimizer,epoch,train_loss,validation_loss,validation_accuracy
adamw,1,0.22043994062948596,0.25765988586145805,0.8887614678899083
adamw,2,0.11402528115216135,0.28729351808171755,0.8956422018348624
adamw,3,0.07696334089469917,0.26244904230767435,0.908256880733945
muon,1,0.25459547194024357,0.3695635207749288,0.8704128440366973
muon,2,0.1692302561452864,0.5705770729878626,0.838302752293578
muon,3,0.13608673682972913,0.3939301188385815,0.8440366972477065
