optimizer,direction_seed,epsilon,sign,loss,baseline_loss,delta_loss
adamw,2026,0.001,1,0.2254931665956974,0.22532904148101807,0.00016412511467933655
adamw,2026,0.001,-1,0.22516666539013386,0.22532904148101807,-0.00016237609088420868
adamw,2026,0.003,1,0.2258287314325571,0.22532904148101807,0.0004996899515390396
adamw,2026,0.003,-1,0.22484571812674403,0.22532904148101807,-0.0004833233542740345
adamw,2026,0.01,1,0.22711663926020265,0.22532904148101807,0.0017875977791845798
adamw,2026,0.01,-1,0.22381618386134505,0.22532904148101807,-0.0015128576196730137
adamw,2026,0.03,1,0.23152692895382643,0.22532904148101807,0.006197887472808361
adamw,2026,0.03,-1,0.22202215855941176,0.22532904148101807,-0.0033068829216063023
adamw,2026,0.1,1,0.2595795299857855,0.22532904148101807,0.03425048850476742
adamw,2026,0.1,-1,0.23042488447390497,0.22532904148101807,0.005095842992886901
adamw,2027,0.001,1,0.2254605577327311,0.22532904148101807,0.0001315162517130375
adamw,2027,0.001,-1,0.2251946828328073,0.22532904148101807,-0.00013435864821076393
adamw,2027,0.003,1,0.2257123114541173,0.22532904148101807,0.0003832699730992317
adamw,2027,0.003,-1,0.22491786442697048,0.22532904148101807,-0.00041117705404758453
adamw,2027,0.01,1,0.22646984364837408,0.22532904148101807,0.0011408021673560143
adamw,2027,0.01,-1,0.22388464212417603,0.22532904148101807,-0.001444399356842041
adamw,2027,0.03,1,0.22766546020284295,0.22532904148101807,0.0023364187218248844
adamw,2027,0.03,-1,0.22053831443190575,0.22532904148101807,-0.00479072704911232
adamw,2027,0.1,1,0.23046621587127447,0.22532904148101807,0.005137174390256405
adamw,2027,0.1,-1,0.21541780838742852,0.22532904148101807,-0.009911233093589544
adamw,2028,0.001,1,0.22541036689653993,0.22532904148101807,8.132541552186012e-05
adamw,2028,0.001,-1,0.22524820500984788,0.22532904148101807,-8.0836471170187e-05
adamw,2028,0.003,1,0.22557396162301302,0.22532904148101807,0.00024492014199495316
adamw,2028,0.003,-1,0.22508985688909888,0.22532904148101807,-0.00023918459191918373
adamw,2028,0.01,1,0.22617423487827182,0.22532904148101807,0.0008451933972537518
adamw,2028,0.01,-1,0.22457008063793182,0.22532904148101807,-0.0007589608430862427
adamw,2028,0.03,1,0.22781952982768416,0.22532904148101807,0.0024904883466660976
adamw,2028,0.03,-1,0.2233150228857994,0.22532904148101807,-0.0020140185952186584
adamw,2028,0.1,1,0.23410278279334307,0.22532904148101807,0.008773741312325
adamw,2028,0.1,-1,0.22580866515636444,0.22532904148101807,0.0004796236753463745
adamw,2029,0.001,1,0.2256321688182652,0.22532904148101807,0.00030312733724713326
adamw,2029,0.001,-1,0.22502440307289362,0.22532904148101807,-0.00030463840812444687
adamw,2029,0.003,1,0.22623141994699836,0.22532904148101807,0.0009023784659802914
adamw,2029,0.003,-1,0.2244091066531837,0.22532904148101807,-0.0009199348278343678
adamw,2029,0.01,1,0.22830854915082455,0.22532904148101807,0.0029795076698064804
adamw,2029,0.01,-1,0.222259733825922,0.22532904148101807,-0.003069307655096054
adamw,2029,0.03,1,0.2338254526257515,0.22532904148101807,0.008496411144733429
adamw,2029,0.03,-1,0.21606531459838152,0.22532904148101807,-0.009263726882636547
adamw,2029,0.1,1,0.25371224619448185,0.22532904148101807,0.028383204713463783
adamw,2029,0.1,-1,0.2024423759430647,0.22532904148101807,-0.022886665537953377
adamw,2030,0.001,1,0.22530263382941484,0.22532904148101807,-2.6407651603221893e-05
adamw,2030,0.001,-1,0.22535126330330968,0.22532904148101807,2.2221822291612625e-05
adamw,2030,0.003,1,0.225247903726995,0.22532904148101807,-8.11377540230751e-05
adamw,2030,0.003,-1,0.22538691153749824,0.22532904148101807,5.7870056480169296e-05
adamw,2030,0.01,1,0.22496731905266643,0.22532904148101807,-0.0003617224283516407
adamw,2030,0.01,-1,0.22541940910741687,0.22532904148101807,9.03676263988018e-05
adamw,2030,0.03,1,0.22352827666327357,0.22532904148101807,-0.0018007648177444935
adamw,2030,0.03,-1,0.22497127065435052,0.22532904148101807,-0.0003577708266675472
adamw,2030,0.1,1,0.22342676669359207,0.22532904148101807,-0.0019022747874259949
adamw,2030,0.1,-1,0.2271208232268691,0.22532904148101807,0.0017917817458510399
adamw,2031,0.001,1,0.2253044694662094,0.22532904148101807,-2.4572014808654785e-05
adamw,2031,0.001,-1,0.22535234736278653,0.22532904148101807,2.3305881768465042e-05
adamw,2031,0.003,1,0.2252522148191929,0.22532904148101807,-7.682666182518005e-05
adamw,2031,0.003,-1,0.22538959328085184,0.22532904148101807,6.055179983377457e-05
adamw,2031,0.01,1,0.22504567401483655,0.22532904148101807,-0.00028336746618151665
adamw,2031,0.01,-1,0.22545606177300215,0.22532904148101807,0.00012702029198408127
adamw,2031,0.03,1,0.22432466968894005,0.22532904148101807,-0.0010043717920780182
adamw,2031,0.03,-1,0.225192466750741,0.22532904148101807,-0.00013657473027706146
adamw,2031,0.1,1,0.22520376346074045,0.22532904148101807,-0.00012527802027761936
