optimizer,group,training_loss,gradient_norm,update_norm,relative_update_norm
adamw,all,0.6718425396829844,1.4001837196715645,0.0553919965672955,0.00013299475918295
adamw,fallback,0.6718425396829844,0.8351769539640572,0.007859410730974205,2.5776505690509268e-05
adamw,fallback_decay,0.6718425396829844,0.8100240149620666,0.0075569759677716316,2.5723708564984228e-05
adamw,fallback_no_decay,0.6718425396829844,0.2014843467935375,0.0021070150415681125,2.5810619218493638e-05
adamw,matrix,0.6718425396829844,1.1164981443441304,0.05481200693180692,0.00019318388749304375
muon,all,0.6516135018318892,1.5302669679363254,0.49324208786512397,0.0011844502946982813
muon,fallback,0.6516135018318892,0.9115395339238388,0.007911936434875168,2.5948774409950547e-05
muon,fallback_decay,0.6516135018318892,0.8861758356445784,0.007611509113802031,2.590933897173918e-05
muon,fallback_no_decay,0.6516135018318892,0.20987949155897745,0.0021048328029495095,2.5783874209889673e-05
muon,matrix,0.6516135018318892,1.2205589530104122,0.4931770693297794,0.0017387898591905626
