epsilon,muon_minus_adamw_mean,ci95_low,ci95_high
0.001,-3.2622774597242527e-06,-5.831910690624234e-06,-6.926442288242713e-07
0.003,-2.5920599000532764e-05,-4.7874306981974945e-05,-3.966891019090584e-06
0.01,-0.0001190659240819,-0.0002288150292773,-9.316818886478514e-06
0.03,2.251763362250191e-07,-0.00096622232023,0.0009666726729025
0.1,-0.0030561380262952,-0.0097639500980362,0.0036516740454457
