optimizer,final_epoch,final_train_loss,final_validation_loss,final_validation_accuracy,best_epoch,best_validation_loss,best_validation_accuracy
adamw,3,0.07696334089469917,0.26244904230767435,0.908256880733945,3,0.26244904230767435,0.908256880733945
muon,3,0.13608673682972913,0.3939301188385815,0.8440366972477065,1,0.3695635207749288,0.8704128440366973
