optimizer,group,training_loss,gradient_norm,update_norm,relative_update_norm
adamw,all,0.6718425396829844,1.4001837196715645,0.05539199656729555,0.00013299475918300015
adamw,fallback,0.6718425396829844,0.8351769539640572,0.007859410730974249,2.5776505690509268e-05
adamw,fallback_decay,0.6718425396829844,0.8100240149620666,0.007556975967771679,2.5723708564984228e-05
adamw,fallback_no_decay,0.6718425396829844,0.20148434679353752,0.002107015041568164,2.5810619218493638e-05
adamw,matrix,0.6718425396829844,1.1164981443441304,0.054812006931806975,0.00019318388749309498
muon,all,0.6516135018318892,1.5302669679363254,0.49324208786512397,0.0011844502946983353
muon,fallback,0.6516135018318892,0.9115395339238388,0.00791193643487523,2.5948774409950547e-05
muon,fallback_decay,0.6516135018318892,0.8861758356445784,0.007611509113802082,2.590933897173918e-05
muon,fallback_no_decay,0.6516135018318892,0.2098794915589775,0.002104832802949566,2.5783874209889673e-05
muon,matrix,0.6516135018318892,1.2205589530104122,0.4931770693297794,0.001738789859190605
